order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty
FMR33720501,01/03/2022,789720,25891501,182,03/03/2022,02/03/2022,182
FMR34720603,03/03/2022,789720,25891501,227,04/03/2022,04/03/2022,227
FMR313720501,11/03/2022,789720,25891501,109,13/03/2022,13/03/2022,109
FMR314720502,11/03/2022,789720,25891501,116,14/03/2022,14/03/2022,116
FMR315720501,14/03/2022,789720,25891501,192,15/03/2022,15/03/2022,192
FMR318720601,15/03/2022,789720,25891501,184,18/03/2022,18/03/2022,184
FMR319720603,16/03/2022,789720,25891501,124,19/03/2022,19/03/2022,124
FMR320720503,18/03/2022,789720,25891501,210,20/03/2022,20/03/2022,210
FMR322720501,19/03/2022,789720,25891501,130,22/03/2022,22/03/2022,130
FMR321720501,20/03/2022,789720,25891501,204,21/03/2022,21/03/2022,204
FAP41720501,31/03/2022,789720,25891501,143,01/04/2022,01/04/2022,143
FAP43720501,31/03/2022,789720,25891501,172,03/04/2022,03/04/2022,172
FAP412720503,09/04/2022,789720,25891501,180,12/04/2022,12/04/2022,180
FAP413720501,12/04/2022,789720,25891501,136,13/04/2022,13/04/2022,136
FAP414720502,12/04/2022,789720,25891501,143,14/04/2022,14/04/2022,143
FAP415720501,12/04/2022,789720,25891501,101,15/04/2022,15/04/2022,101
FAP416720503,14/04/2022,789720,25891501,224,16/04/2022,16/04/2022,224
FAP417720602,15/04/2022,789720,25891501,180,17/04/2022,17/04/2022,180
FAP419720501,17/04/2022,789720,25891501,168,19/04/2022,18/04/2022,168
FAP422720601,20/04/2022,789720,25891501,166,22/04/2022,22/04/2022,166
FAP425720501,22/04/2022,789720,25891501,129,25/04/2022,25/04/2022,129
FAP427720501,24/04/2022,789720,25891501,244,27/04/2022,27/04/2022,244
FMY53720501,02/05/2022,789720,25891501,220,03/05/2022,03/05/2022,220
FMY56720501,04/05/2022,789720,25891501,234,06/05/2022,06/05/2022,234
FMY58720601,06/05/2022,789720,25891501,238,08/05/2022,08/05/2022,238
FMY59720603,06/05/2022,789720,25891501,139,09/05/2022,09/05/2022,139
FMY514720602,11/05/2022,789720,25891501,168,14/05/2022,14/05/2022,168
FMY513720502,12/05/2022,789720,25891501,111,13/05/2022,13/05/2022,111
FMY516720501,14/05/2022,789720,25891501,144,16/05/2022,15/05/2022,144
FMY517720501,14/05/2022,789720,25891501,184,17/05/2022,17/05/2022,184
FMY525720501,22/05/2022,789720,25891501,131,25/05/2022,25/05/2022,131
FMY526720501,25/05/2022,789720,25891501,223,26/05/2022,26/05/2022,223
FMY528720501,27/05/2022,789720,25891501,213,28/05/2022,28/05/2022,213
FMY531720503,28/05/2022,789720,25891501,118,31/05/2022,31/05/2022,118
FJUN65720501,02/06/2022,789720,25891501,233,05/06/2022,05/06/2022,233
FJUN68720501,06/06/2022,789720,25891501,227,08/06/2022,08/06/2022,227
FJUN611720501,09/06/2022,789720,25891501,137,11/06/2022,11/06/2022,137
FJUN612720502,09/06/2022,789720,25891501,244,12/06/2022,12/06/2022,244
FJUN613720501,12/06/2022,789720,25891501,204,13/06/2022,12/06/2022,204
FJUN618720501,16/06/2022,789720,25891501,151,18/06/2022,18/06/2022,151
FJUN620720501,19/06/2022,789720,25891501,232,20/06/2022,20/06/2022,232
FJUN622720601,19/06/2022,789720,25891501,143,22/06/2022,22/06/2022,143
FJUN621720502,20/06/2022,789720,25891501,166,21/06/2022,21/06/2022,166
FJUN623720601,22/06/2022,789720,25891501,122,23/06/2022,23/06/2022,122
FJUN624720501,22/06/2022,789720,25891501,194,24/06/2022,23/06/2022,194
FJUN625720501,24/06/2022,789720,25891501,122,25/06/2022,25/06/2022,122
FJUN628720501,25/06/2022,789720,25891501,101,28/06/2022,27/06/2022,101
